Épisode 365/2200, Score: 399.0, Epsilon: 0.1605
Épisode 366/2200, Score: 252.0, Epsilon: 0.1597
Épisode 367/2200, Score: 252.0, Epsilon: 0.1589
Épisode 368/2200, Score: 315.0, Epsilon: 0.1581
Épisode 369/2200, Score: 189.0, Epsilon: 0.1573
Épisode 370/2200, Score: 294.0, Epsilon: 0.1565
Épisode 371/2200, Score: 252.0, Epsilon: 0.1557
Épisode 372/2200, Score: 273.0, Epsilon: 0.1549
Épisode 373/2200, Score: 315.0, Epsilon: 0.1542
Épisode 374/2200, Score: 462.0, Epsilon: 0.1534
Épisode 375/2200, Score: 441.0, Epsilon: 0.1526
Épisode 376/2200, Score: 420.0, Epsilon: 0.1519
Épisode 377/2200, Score: 231.0, Epsilon: 0.1511
Épisode 378/2200, Score: 336.0, Epsilon: 0.1504
Épisode 379/2200, Score: 210.0, Epsilon: 0.1496
Épisode 380/2200, Score: 189.0, Epsilon: 0.1489
Épisode 381/2200, Score: 210.0, Epsilon: 0.1481
Épisode 382/2200, Score: 504.0, Epsilon: 0.1474
Épisode 383/2200, Score: 441.0, Epsilon: 0.1466
Épisode 384/2200, Score: 399.0, Epsilon: 0.1459
Épisode 385/2200, Score: 189.0, Epsilon: 0.1452
Épisode 386/2200, Score: 399.0, Epsilon: 0.1444
Épisode 387/2200, Score: 357.0, Epsilon: 0.1437
Épisode 388/2200, Score: 252.0, Epsilon: 0.1430
Épisode 389/2200, Score: 294.0, Epsilon: 0.1423
Épisode 390/2200, Score: 357.0, Epsilon: 0.1416
Épisode 391/2200, Score: 315.0, Epsilon: 0.1409
Épisode 392/2200, Score: 357.0, Epsilon: 0.1402
Épisode 393/2200, Score: 525.0, Epsilon: 0.1395
Épisode 394/2200, Score: 189.0, Epsilon: 0.1388
Épisode 395/2200, Score: 336.0, Epsilon: 0.1381
Épisode 396/2200, Score: 336.0, Epsilon: 0.1374
Épisode 397/2200, Score: 315.0, Epsilon: 0.1367
Épisode 398/2200, Score: 210.0, Epsilon: 0.1360
Épisode 399/2200, Score: 168.0, Epsilon: 0.1353
Épisode 400/2200, Score: 210.0, Epsilon: 0.1347
Épisode 401/2200, Score: 420.0, Epsilon: 0.1340
Épisode 402/2200, Score: 231.0, Epsilon: 0.1333
Épisode 403/2200, Score: 273.0, Epsilon: 0.1326
Épisode 404/2200, Score: 231.0, Epsilon: 0.1320
Épisode 405/2200, Score: 609.0, Epsilon: 0.1313
Épisode 406/2200, Score: 294.0, Epsilon: 0.1307
Épisode 407/2200, Score: 189.0, Epsilon: 0.1300
Épisode 408/2200, Score: 252.0, Epsilon: 0.1294
Épisode 409/2200, Score: 252.0, Epsilon: 0.1287
Épisode 410/2200, Score: 294.0, Epsilon: 0.1281
Épisode 411/2200, Score: 210.0, Epsilon: 0.1274
Épisode 412/2200, Score: 231.0, Epsilon: 0.1268
Épisode 413/2200, Score: 483.0, Epsilon: 0.1262
Épisode 414/2200, Score: 168.0, Epsilon: 0.1255
Épisode 415/2200, Score: 252.0, Epsilon: 0.1249
Épisode 416/2200, Score: 336.0, Epsilon: 0.1243
Épisode 417/2200, Score: 504.0, Epsilon: 0.1237
Épisode 418/2200, Score: 357.0, Epsilon: 0.1230
Épisode 419/2200, Score: 189.0, Epsilon: 0.1224
Épisode 420/2200, Score: 315.0, Epsilon: 0.1218
Épisode 421/2200, Score: 399.0, Epsilon: 0.1212
Épisode 422/2200, Score: 315.0, Epsilon: 0.1206
Épisode 423/2200, Score: 252.0, Epsilon: 0.1200
Épisode 424/2200, Score: 378.0, Epsilon: 0.1194
Épisode 425/2200, Score: 294.0, Epsilon: 0.1188
Épisode 426/2200, Score: 189.0, Epsilon: 0.1182
Épisode 427/2200, Score: 252.0, Epsilon: 0.1176
Épisode 428/2200, Score: 294.0, Epsilon: 0.1170
Épisode 429/2200, Score: 357.0, Epsilon: 0.1164
Épisode 430/2200, Score: 378.0, Epsilon: 0.1159
Épisode 431/2200, Score: 168.0, Epsilon: 0.1153
Épisode 432/2200, Score: 252.0, Epsilon: 0.1147
Épisode 433/2200, Score: 357.0, Epsilon: 0.1141
Épisode 434/2200, Score: 210.0, Epsilon: 0.1136
Épisode 435/2200, Score: 504.0, Epsilon: 0.1130
Épisode 436/2200, Score: 336.0, Epsilon: 0.1124
Épisode 437/2200, Score: 315.0, Epsilon: 0.1119
Épisode 438/2200, Score: 231.0, Epsilon: 0.1113
Épisode 439/2200, Score: 315.0, Epsilon: 0.1107
Épisode 440/2200, Score: 399.0, Epsilon: 0.1102
Épisode 441/2200, Score: 441.0, Epsilon: 0.1096
Épisode 442/2200, Score: 315.0, Epsilon: 0.1091
Épisode 443/2200, Score: 315.0, Epsilon: 0.1085
Épisode 444/2200, Score: 378.0, Epsilon: 0.1080
Épisode 445/2200, Score: 378.0, Epsilon: 0.1075
Épisode 446/2200, Score: 336.0, Epsilon: 0.1069
Épisode 447/2200, Score: 189.0, Epsilon: 0.1064
Épisode 448/2200, Score: 252.0, Epsilon: 0.1059
Épisode 449/2200, Score: 315.0, Epsilon: 0.1053
Épisode 450/2200, Score: 189.0, Epsilon: 0.1048
Épisode 451/2200, Score: 273.0, Epsilon: 0.1043
Épisode 452/2200, Score: 231.0, Epsilon: 0.1038
Épisode 453/2200, Score: 399.0, Epsilon: 0.1032
Épisode 454/2200, Score: 189.0, Epsilon: 0.1027
Épisode 455/2200, Score: 525.0, Epsilon: 0.1022
Épisode 456/2200, Score: 504.0, Epsilon: 0.1017
Épisode 457/2200, Score: 189.0, Epsilon: 0.1012
Épisode 458/2200, Score: 378.0, Epsilon: 0.1007
Épisode 459/2200, Score: 273.0, Epsilon: 0.1002
Épisode 460/2200, Score: 483.0, Epsilon: 0.0997
Épisode 461/2200, Score: 336.0, Epsilon: 0.0992
Épisode 462/2200, Score: 420.0, Epsilon: 0.0987
Épisode 463/2200, Score: 483.0, Epsilon: 0.0982
Épisode 464/2200, Score: 483.0, Epsilon: 0.0977
Épisode 465/2200, Score: 462.0, Epsilon: 0.0972
Épisode 466/2200, Score: 273.0, Epsilon: 0.0967
