Épisode 368/5000, Score: 231.0, Epsilon: 0.1581
Épisode 369/5000, Score: 168.0, Epsilon: 0.1573
Épisode 370/5000, Score: 84.0, Epsilon: 0.1565
Épisode 371/5000, Score: 126.0, Epsilon: 0.1557
Épisode 372/5000, Score: 189.0, Epsilon: 0.1549
Épisode 373/5000, Score: 126.0, Epsilon: 0.1542
Épisode 374/5000, Score: 63.0, Epsilon: 0.1534
Épisode 375/5000, Score: 189.0, Epsilon: 0.1526
Épisode 376/5000, Score: 273.0, Epsilon: 0.1519
Épisode 377/5000, Score: 126.0, Epsilon: 0.1511
Épisode 378/5000, Score: 147.0, Epsilon: 0.1504
Épisode 379/5000, Score: 189.0, Epsilon: 0.1496
Épisode 380/5000, Score: 189.0, Epsilon: 0.1489
Épisode 381/5000, Score: 147.0, Epsilon: 0.1481
Épisode 382/5000, Score: 189.0, Epsilon: 0.1474
Épisode 383/5000, Score: 126.0, Epsilon: 0.1466
Épisode 384/5000, Score: 105.0, Epsilon: 0.1459
Épisode 385/5000, Score: 189.0, Epsilon: 0.1452
Épisode 386/5000, Score: 84.0, Epsilon: 0.1444
Épisode 387/5000, Score: 168.0, Epsilon: 0.1437
Épisode 388/5000, Score: 105.0, Epsilon: 0.1430
Épisode 389/5000, Score: 84.0, Epsilon: 0.1423
Épisode 390/5000, Score: 126.0, Epsilon: 0.1416
Épisode 391/5000, Score: 189.0, Epsilon: 0.1409
Épisode 392/5000, Score: 147.0, Epsilon: 0.1402
Épisode 393/5000, Score: 147.0, Epsilon: 0.1395
Épisode 394/5000, Score: 168.0, Epsilon: 0.1388
Épisode 395/5000, Score: 126.0, Epsilon: 0.1381
Épisode 396/5000, Score: 105.0, Epsilon: 0.1374
Épisode 397/5000, Score: 189.0, Epsilon: 0.1367
Épisode 398/5000, Score: 189.0, Epsilon: 0.1360
Épisode 399/5000, Score: 315.0, Epsilon: 0.1353
Épisode 400/5000, Score: 252.0, Epsilon: 0.1347
Épisode 401/5000, Score: 84.0, Epsilon: 0.1340
Épisode 402/5000, Score: 315.0, Epsilon: 0.1333
Épisode 403/5000, Score: 168.0, Epsilon: 0.1326
Épisode 404/5000, Score: 210.0, Epsilon: 0.1320
Épisode 405/5000, Score: 252.0, Epsilon: 0.1313
Épisode 406/5000, Score: 231.0, Epsilon: 0.1307
Épisode 407/5000, Score: 189.0, Epsilon: 0.1300
Épisode 408/5000, Score: 189.0, Epsilon: 0.1294
Épisode 409/5000, Score: 189.0, Epsilon: 0.1287
