Episode411/2500Reward:682.0, Epsilon :0.12743425563174798
Episode412/2500Reward:588.0, Epsilon :0.12679708435358925
Episode413/2500Reward:420.0, Epsilon :0.1261630989318213
Episode414/2500Reward:963.0, Epsilon :0.1255322834371622
Episode415/2500Reward:651.0, Epsilon :0.12490462201997637
Episode416/2500Reward:672.0, Epsilon :0.1242800989098765
Episode417/2500Reward:651.0, Epsilon :0.12365869841532712
Episode418/2500Reward:609.0, Epsilon :0.12304040492325048
Episode419/2500Reward:462.0, Epsilon :0.12242520289863423
Episode420/2500Reward:420.0, Epsilon :0.12181307688414106
Episode421/2500Reward:745.0, Epsilon :0.12120401149972035
Episode422/2500Reward:588.0, Epsilon :0.12059799144222175
Episode423/2500Reward:567.0, Epsilon :0.11999500148501063
Episode424/2500Reward:504.0, Epsilon :0.11939502647758558
Episode425/2500Reward:672.0, Epsilon :0.11879805134519765
Episode426/2500Reward:588.0, Epsilon :0.11820406108847166
Episode427/2500Reward:609.0, Epsilon :0.1176130407830293
Episode428/2500Reward:609.0, Epsilon :0.11702497557911415
Episode429/2500Reward:567.0, Epsilon :0.11643985070121858
Episode430/2500Reward:766.0, Epsilon :0.11585765144771248
Episode431/2500Reward:798.0, Epsilon :0.11527836319047392
Episode432/2500Reward:399.0, Epsilon :0.11470197137452155
Episode433/2500Reward:672.0, Epsilon :0.11412846151764894
Episode434/2500Reward:651.0, Epsilon :0.1135578192100607
Episode435/2500Reward:168.0, Epsilon :0.11299003011401039
Episode436/2500Reward:273.0, Epsilon :0.11242507996344034
Episode437/2500Reward:630.0, Epsilon :0.11186295456362313
Episode438/2500Reward:609.0, Epsilon :0.11130363979080501
Episode439/2500Reward:714.0, Epsilon :0.11074712159185099
Episode440/2500Reward:693.0, Epsilon :0.11019338598389174
Episode441/2500Reward:399.0, Epsilon :0.10964241905397228
Episode442/2500Reward:609.0, Epsilon :0.10909420695870241
Episode443/2500Reward:441.0, Epsilon :0.1085487359239089
Episode444/2500Reward:567.0, Epsilon :0.10800599224428936
Episode445/2500Reward:609.0, Epsilon :0.10746596228306791
Episode446/2500Reward:420.0, Epsilon :0.10692863247165257
Episode447/2500Reward:745.0, Epsilon :0.1063939893092943
Episode448/2500Reward:462.0, Epsilon :0.10586201936274783
Episode449/2500Reward:630.0, Epsilon :0.10533270926593409
Episode450/2500Reward:315.0, Epsilon :0.10480604571960442
Episode451/2500Reward:525.0, Epsilon :0.1042820154910064
Episode452/2500Reward:588.0, Epsilon :0.10376060541355137
Episode453/2500Reward:462.0, Epsilon :0.1032418023864836
Episode454/2500Reward:504.0, Epsilon :0.10272559337455119
Episode455/2500Reward:462.0, Epsilon :0.10221196540767843
Episode456/2500Reward:420.0, Epsilon :0.10170090558064004
Episode457/2500Reward:483.0, Epsilon :0.10119240105273684
Episode458/2500Reward:567.0, Epsilon :0.10068643904747315
Episode459/2500Reward:567.0, Epsilon :0.10018300685223579
Episode460/2500Reward:273.0, Epsilon :0.1
Episode461/2500Reward:504.0, Epsilon :0.1
Episode462/2500Reward:703.0, Epsilon :0.1
Episode463/2500Reward:724.0, Epsilon :0.1
Episode464/2500Reward:420.0, Epsilon :0.1
Episode465/2500Reward:693.0, Epsilon :0.1
Episode466/2500Reward:567.0, Epsilon :0.1
Episode467/2500Reward:462.0, Epsilon :0.1
Episode468/2500Reward:189.0, Epsilon :0.1
Episode469/2500Reward:315.0, Epsilon :0.1
