Épisode 345/7000, Score: 357.0, Epsilon: 0.1774
Épisode 346/7000, Score: 315.0, Epsilon: 0.1765
Épisode 347/7000, Score: 252.0, Epsilon: 0.1756
Épisode 348/7000, Score: 231.0, Epsilon: 0.1748
Épisode 349/7000, Score: 231.0, Epsilon: 0.1739
Épisode 350/7000, Score: 336.0, Epsilon: 0.1730
Épisode 351/7000, Score: 273.0, Epsilon: 0.1721
Épisode 352/7000, Score: 357.0, Epsilon: 0.1713
Épisode 353/7000, Score: 336.0, Epsilon: 0.1704
Épisode 354/7000, Score: 210.0, Epsilon: 0.1696
Épisode 355/7000, Score: 420.0, Epsilon: 0.1687
Épisode 356/7000, Score: 147.0, Epsilon: 0.1679
Épisode 357/7000, Score: 357.0, Epsilon: 0.1670
Épisode 358/7000, Score: 189.0, Epsilon: 0.1662
Épisode 359/7000, Score: 147.0, Epsilon: 0.1654
Épisode 360/7000, Score: 210.0, Epsilon: 0.1646
Épisode 361/7000, Score: 357.0, Epsilon: 0.1637
Épisode 362/7000, Score: 294.0, Epsilon: 0.1629
Épisode 363/7000, Score: 231.0, Epsilon: 0.1621
Épisode 364/7000, Score: 336.0, Epsilon: 0.1613
Épisode 365/7000, Score: 294.0, Epsilon: 0.1605
Épisode 366/7000, Score: 147.0, Epsilon: 0.1597
Épisode 367/7000, Score: 357.0, Epsilon: 0.1589
Épisode 368/7000, Score: 168.0, Epsilon: 0.1581
Épisode 369/7000, Score: 168.0, Epsilon: 0.1573
Épisode 370/7000, Score: 294.0, Epsilon: 0.1565
Épisode 371/7000, Score: 378.0, Epsilon: 0.1557
Épisode 372/7000, Score: 189.0, Epsilon: 0.1549
Épisode 373/7000, Score: 378.0, Epsilon: 0.1542
Épisode 374/7000, Score: 378.0, Epsilon: 0.1534
Épisode 375/7000, Score: 294.0, Epsilon: 0.1526
Épisode 376/7000, Score: 315.0, Epsilon: 0.1519
Épisode 377/7000, Score: 273.0, Epsilon: 0.1511
Épisode 378/7000, Score: 294.0, Epsilon: 0.1504
Épisode 379/7000, Score: 210.0, Epsilon: 0.1496
Épisode 380/7000, Score: 168.0, Epsilon: 0.1489
Épisode 381/7000, Score: 210.0, Epsilon: 0.1481
Épisode 382/7000, Score: 315.0, Epsilon: 0.1474
Épisode 383/7000, Score: 231.0, Epsilon: 0.1466
Épisode 384/7000, Score: 210.0, Epsilon: 0.1459
Épisode 385/7000, Score: 378.0, Epsilon: 0.1452
Épisode 386/7000, Score: 252.0, Epsilon: 0.1444
Épisode 387/7000, Score: 315.0, Epsilon: 0.1437
Épisode 388/7000, Score: 399.0, Epsilon: 0.1430
Épisode 389/7000, Score: 252.0, Epsilon: 0.1423
Épisode 390/7000, Score: 105.0, Epsilon: 0.1416
Épisode 391/7000, Score: 252.0, Epsilon: 0.1409
Épisode 392/7000, Score: 378.0, Epsilon: 0.1402
Épisode 393/7000, Score: 147.0, Epsilon: 0.1395
Épisode 394/7000, Score: 273.0, Epsilon: 0.1388
Épisode 395/7000, Score: 210.0, Epsilon: 0.1381
Épisode 396/7000, Score: 378.0, Epsilon: 0.1374
Épisode 397/7000, Score: 189.0, Epsilon: 0.1367
Épisode 398/7000, Score: 231.0, Epsilon: 0.1360
Épisode 399/7000, Score: 315.0, Epsilon: 0.1353
Épisode 400/7000, Score: 189.0, Epsilon: 0.1347
Épisode 401/7000, Score: 147.0, Epsilon: 0.1340
Épisode 402/7000, Score: 42.0, Epsilon: 0.1333
Épisode 403/7000, Score: 273.0, Epsilon: 0.1326
Épisode 404/7000, Score: 231.0, Epsilon: 0.1320
Épisode 405/7000, Score: 189.0, Epsilon: 0.1313
Épisode 406/7000, Score: 252.0, Epsilon: 0.1307
Épisode 407/7000, Score: 126.0, Epsilon: 0.1300
Épisode 408/7000, Score: 378.0, Epsilon: 0.1294
Épisode 409/7000, Score: 189.0, Epsilon: 0.1287
Épisode 410/7000, Score: 210.0, Epsilon: 0.1281
Épisode 411/7000, Score: 231.0, Epsilon: 0.1274
Épisode 412/7000, Score: 399.0, Epsilon: 0.1268
Épisode 413/7000, Score: 420.0, Epsilon: 0.1262
Épisode 414/7000, Score: 252.0, Epsilon: 0.1255
Épisode 415/7000, Score: 399.0, Epsilon: 0.1249
Épisode 416/7000, Score: 189.0, Epsilon: 0.1243
Épisode 417/7000, Score: 399.0, Epsilon: 0.1237
Épisode 418/7000, Score: 315.0, Epsilon: 0.1230
Épisode 419/7000, Score: 294.0, Epsilon: 0.1224
Épisode 420/7000, Score: 189.0, Epsilon: 0.1218
Épisode 421/7000, Score: 168.0, Epsilon: 0.1212
Épisode 422/7000, Score: 189.0, Epsilon: 0.1206
Épisode 423/7000, Score: 399.0, Epsilon: 0.1200
Épisode 424/7000, Score: 189.0, Epsilon: 0.1194
Épisode 425/7000, Score: 210.0, Epsilon: 0.1188
Épisode 426/7000, Score: 189.0, Epsilon: 0.1182
Épisode 427/7000, Score: 399.0, Epsilon: 0.1176
Épisode 428/7000, Score: 441.0, Epsilon: 0.1170
Épisode 429/7000, Score: 357.0, Epsilon: 0.1164
Épisode 430/7000, Score: 294.0, Epsilon: 0.1159
Épisode 431/7000, Score: 399.0, Epsilon: 0.1153
Épisode 432/7000, Score: 210.0, Epsilon: 0.1147
Épisode 433/7000, Score: 315.0, Epsilon: 0.1141
Épisode 434/7000, Score: 84.0, Epsilon: 0.1136
Épisode 435/7000, Score: 189.0, Epsilon: 0.1130
Épisode 436/7000, Score: 378.0, Epsilon: 0.1124
Épisode 437/7000, Score: 378.0, Epsilon: 0.1119
Épisode 438/7000, Score: 252.0, Epsilon: 0.1113
Épisode 439/7000, Score: 420.0, Epsilon: 0.1107
Épisode 440/7000, Score: 378.0, Epsilon: 0.1102
Épisode 441/7000, Score: 252.0, Epsilon: 0.1096
